,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,-1,-1,-1,1,1,-1,1,1,0.0,-1.20757,348
1,-1,-1,1,1,1,-1,-1,1,0.0,-1.1426415999999997,322
2,-1,-1,1,1,1,-1,1,1,0.0,-1.1417059999999997,88
3,1,1,-1,-1,-1,1,1,-1,0.0,-1.1097496,127
4,1,1,-1,-1,-1,-1,1,-1,0.0,-0.9871355999999999,19
5,-1,-1,1,1,-1,1,-1,1,0.0,-0.9727415999999999,44
6,1,1,-1,-1,1,-1,1,-1,0.0,-0.9706655999999999,8
7,-1,-1,1,1,-1,-1,-1,1,0.0,-0.9305755999999997,18
8,1,1,-1,-1,-1,1,-1,-1,0.0,-0.9113260000000001,8
9,-1,-1,1,1,1,1,-1,1,0.0,-0.8752155999999999,7
10,-1,-1,-1,1,1,-1,1,1,0.125,-1.20757,1
11,-1,-1,-1,-1,1,-1,1,1,0.0,-0.7700319999999999,2
12,-1,-1,-1,1,1,-1,1,-1,0.0,-0.7345983999999999,1
13,-1,-1,-1,1,1,-1,-1,1,0.0,-0.7136655999999999,4
14,-1,-1,-1,1,1,1,-1,1,0.0,-0.6081275999999999,1
15,1,-1,1,1,-1,1,-1,1,0.125,-0.31575759999999997,1
16,-1,-1,1,-1,1,-1,1,1,0.0,-0.32336,1
