,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,-1,1,-1,1,-1,-1,0.0,-1.3307609999999999,498
1,-1,1,-1,-1,-1,1,-1,-1,0.0,-1.2757565999999998,417
2,-1,-1,-1,1,-1,1,-1,-1,0.0,-1.0651253999999999,38
3,1,1,-1,1,-1,-1,-1,-1,0.0,-1.032377,6
4,-1,-1,-1,-1,-1,1,-1,-1,0.0,-0.9495958000000001,4
5,1,-1,-1,1,-1,1,-1,-1,0.0,-0.9370481999999999,2
6,1,1,-1,-1,-1,1,-1,-1,0.0,-0.9353833999999999,8
7,1,1,-1,-1,-1,1,1,-1,0.0,-0.9091621999999999,10
8,-1,-1,-1,1,1,1,-1,1,0.0,-0.9071438000000002,1
9,1,1,1,-1,-1,-1,1,-1,0.0,-0.9061458000000001,4
10,-1,1,-1,1,-1,1,-1,-1,0.0,-0.8933661999999999,6
11,1,1,1,1,-1,-1,-1,-1,0.0,-0.8358557999999999,1
12,1,-1,1,1,-1,-1,-1,-1,0.0,-0.8059869999999999,1
13,-1,-1,1,-1,-1,1,-1,-1,0.0,-0.7917306,1
14,-1,-1,1,-1,-1,-1,1,-1,0.0,-0.6440726000000001,1
15,1,1,-1,1,-1,1,-1,1,0.0,-0.5966050000000002,1
16,1,1,-1,1,1,1,-1,-1,0.0,-0.5404745999999999,1
