,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,-1,1,-1,-1,1,1,-1,-1,0.0,-1.7718814,571
1,1,-1,-1,-1,-1,1,1,-1,-1,0.0,-1.5935001999999998,95
2,-1,-1,-1,-1,-1,1,1,-1,-1,0.0,-1.5636922000000002,44
3,-1,-1,-1,-1,-1,-1,1,-1,-1,0.0,-1.5109626000000003,155
4,1,-1,1,-1,-1,1,1,-1,-1,0.0,-1.3982173999999998,17
5,-1,-1,1,-1,-1,1,-1,-1,-1,0.0,-1.3564377999999997,3
6,-1,1,1,-1,-1,1,-1,-1,-1,0.0,-1.3514077999999996,6
7,-1,1,1,-1,1,1,-1,-1,-1,0.0,-1.3409033999999997,13
8,-1,1,-1,-1,1,-1,-1,1,-1,0.0,-1.2596862,40
9,1,-1,-1,-1,-1,-1,1,-1,-1,0.1111111111111111,-0.9106825999999998,3
10,-1,-1,1,-1,-1,1,1,-1,1,0.0,-1.1356594,2
11,-1,-1,1,1,-1,1,1,-1,-1,0.0,-1.1166574000000002,2
12,-1,1,1,1,1,-1,-1,-1,1,0.0,-1.1123509999999999,15
13,-1,-1,-1,-1,-1,-1,1,-1,-1,0.1111111111111111,-1.5109626000000003,1
14,-1,1,1,-1,1,-1,-1,-1,-1,0.0,-1.0957497999999999,2
15,1,-1,1,-1,-1,1,-1,-1,-1,0.0,-1.0685738,1
16,-1,-1,-1,-1,-1,-1,1,1,-1,0.0,-1.0632641999999999,5
17,-1,1,-1,-1,1,-1,-1,-1,-1,0.0,-1.0482006,2
18,1,-1,-1,-1,-1,1,1,1,-1,0.0,-1.0412097999999996,2
19,1,-1,1,1,-1,1,1,-1,-1,0.0,-1.0404813999999998,1
20,1,1,1,-1,1,1,-1,-1,-1,0.0,-1.0274953999999998,1
21,-1,-1,1,1,-1,1,1,-1,1,0.0,-1.0157314000000002,1
22,-1,1,1,1,1,-1,-1,-1,-1,0.0,-0.9974538000000001,2
23,-1,1,1,-1,1,1,-1,-1,1,0.0,-0.9954253999999997,3
24,-1,1,-1,1,1,-1,-1,1,-1,0.0,-0.9901662000000002,1
25,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,-0.9875849999999999,1
26,-1,1,-1,-1,1,-1,1,-1,-1,0.0,-0.9739969999999999,1
27,1,1,1,1,1,1,-1,-1,1,0.0,-0.9604094,1
28,-1,-1,1,-1,-1,-1,1,-1,-1,0.0,-0.9204157999999999,1
29,1,-1,-1,-1,1,-1,1,1,-1,0.0,-0.9198646,1
30,-1,1,1,1,1,-1,-1,1,1,0.0,-0.9195213999999997,3
31,-1,1,1,1,-1,1,-1,-1,-1,0.0,-0.8865358,1
32,-1,1,1,1,1,-1,1,-1,1,0.0,-0.8731154,2
33,-1,1,1,1,1,1,-1,-1,1,0.0,-0.8678414,1
