,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,1,1,-1,-1,-1,1,1,-1,1,0.0,-0.8681224000000001,425
1,1,-1,-1,-1,-1,1,1,-1,-1,0.0,-0.8167768000000001,110
2,1,-1,-1,-1,-1,1,1,-1,1,0.0,-0.8011320000000001,44
3,1,1,-1,-1,-1,1,1,-1,-1,0.0,-0.7997032,75
4,1,1,1,-1,1,1,-1,-1,-1,0.0,-0.7971887999999996,151
5,-1,-1,-1,-1,-1,-1,1,-1,-1,0.0,-0.7507572000000001,49
6,-1,-1,1,-1,1,-1,-1,-1,-1,0.0,-0.7480123999999999,67
7,1,-1,1,-1,1,1,-1,-1,-1,0.0,-0.7426711999999999,27
8,-1,-1,1,-1,-1,-1,-1,-1,-1,0.0,-0.7252904,17
9,1,-1,1,-1,-1,1,-1,-1,-1,0.0,-0.7089835999999999,7
10,1,-1,1,-1,-1,1,1,-1,-1,0.0,-0.6924328,6
11,1,1,1,-1,1,1,-1,-1,1,0.0,-0.6609999999999998,2
12,1,1,-1,-1,-1,1,1,1,1,0.0,-0.6577616,2
13,1,1,-1,-1,1,1,1,-1,-1,0.0,-0.6354787999999997,2
14,1,-1,1,-1,-1,1,1,-1,1,0.0,-0.6328623999999998,2
15,1,1,1,-1,1,1,-1,1,-1,0.0,-0.6302351999999998,2
16,-1,-1,-1,1,-1,-1,1,-1,-1,0.0,-0.6280940000000002,1
17,1,-1,1,-1,-1,1,-1,-1,1,0.0,-0.6047547999999999,1
18,1,1,-1,-1,1,1,1,-1,1,0.0,-0.5878739999999999,1
19,1,1,1,-1,-1,1,1,-1,1,0.0,-0.5717088,1
20,1,-1,1,-1,-1,-1,-1,-1,-1,0.0,-0.5704020000000001,1
21,1,-1,1,-1,1,-1,-1,-1,-1,0.0,-0.5626608,1
22,1,1,-1,-1,1,1,-1,1,-1,0.0,-0.5610511999999996,1
23,1,1,-1,-1,-1,1,-1,-1,-1,0.0,-0.5546371999999999,1
24,-1,-1,1,-1,-1,-1,1,-1,-1,0.0,-0.5502748000000001,2
25,1,1,-1,-1,1,1,-1,1,1,0.0,-0.5315375999999998,1
26,1,1,1,-1,1,1,1,-1,1,0.1111111111111111,-0.4521643999999998,1
